observation_date,INDPRMNTO01IXOBM
1994-04-01,22.96133
1994-05-01,23.09842
1994-06-01,23.39543
1994-07-01,23.71529
1994-08-01,23.62390
1994-09-01,23.62390
1994-10-01,23.60105
1994-11-01,24.99473
1994-12-01,26.89104
1995-01-01,27.64499
1995-02-01,26.45694
1995-03-01,29.06151
1995-04-01,26.50263
1995-05-01,26.02284
1995-06-01,25.72583
1995-07-01,26.73110
1995-08-01,26.77680
1995-09-01,27.87346
1995-10-01,26.77680
1995-11-01,28.51318
1995-12-01,30.75219
1996-01-01,31.39191
1996-02-01,30.75219
1996-03-01,33.51669
1996-04-01,30.02109
1996-05-01,30.20386
1996-06-01,29.17575
1996-07-01,29.10720
1996-08-01,29.72408
1996-09-01,29.15290
1996-10-01,29.42706
1996-11-01,29.13005
1996-12-01,32.16871
1997-01-01,31.94024
1997-02-01,31.71177
1997-03-01,34.63620
1997-04-01,31.30052
1997-05-01,31.36907
1997-06-01,30.98067
1997-07-01,31.55184
1997-08-01,31.14059
1997-09-01,31.71177
1997-10-01,31.59754
1997-11-01,32.53427
1997-12-01,34.54481
1998-01-01,34.33919
1998-02-01,33.76801
1998-03-01,35.80140
1998-04-01,32.85413
1998-05-01,32.57996
1998-06-01,32.55711
1998-07-01,32.62566
1998-08-01,32.67135
1998-09-01,33.05975
1998-10-01,31.59754
1998-11-01,34.49912
1998-12-01,35.96133
1999-01-01,36.32689
1999-02-01,35.29877
1999-03-01,37.78910
1999-04-01,34.54481
1999-05-01,35.43585
1999-06-01,34.38488
1999-07-01,34.86467
1999-08-01,35.09314
1999-09-01,35.18453
1999-10-01,34.56766
1999-11-01,35.77856
1999-12-01,39.29701
2000-01-01,38.36028
2000-02-01,38.31458
2000-03-01,41.19332
2000-04-01,36.98945
2000-05-01,37.62917
2000-06-01,36.48682
2000-07-01,36.85237
2000-08-01,37.03514
2000-09-01,37.44639
2000-10-01,36.71529
2000-11-01,38.47451
2000-12-01,40.66784
2001-01-01,40.16520
2001-02-01,39.70826
2001-03-01,42.24429
2001-04-01,37.97188
2001-05-01,38.29174
2001-06-01,37.74340
2001-07-01,37.90334
2001-08-01,38.24604
2001-09-01,37.97188
2001-10-01,37.99472
2001-11-01,39.34270
2001-12-01,41.87873
2002-01-01,41.81019
2002-02-01,40.87346
2002-03-01,43.52372
2002-04-01,39.50263
2002-05-01,39.82249
2002-06-01,39.31985
2002-07-01,40.43937
2002-08-01,40.71353
2002-09-01,40.85061
2002-10-01,40.78207
2002-11-01,41.03339
2002-12-01,44.64323
2003-01-01,44.82601
2003-02-01,43.77504
2003-03-01,46.31107
2003-04-01,41.19332
2003-05-01,42.47276
2003-06-01,42.03866
2003-07-01,43.66080
2003-08-01,43.45518
2003-09-01,44.11775
2003-10-01,43.68365
2003-11-01,44.68892
2003-12-01,48.13884
2004-01-01,48.48154
2004-02-01,47.08787
2004-03-01,50.05799
2004-04-01,46.17398
2004-05-01,47.13356
2004-06-01,47.08787
2004-07-01,49.00703
2004-08-01,49.16695
2004-09-01,50.42355
2004-10-01,50.51493
2004-11-01,50.37785
2004-12-01,54.85588
2005-01-01,54.35324
2005-02-01,52.61687
2005-03-01,58.39718
2005-04-01,50.49209
2005-05-01,52.62212
2005-06-01,54.00720
2005-07-01,53.38878
2005-08-01,54.57714
2005-09-01,55.06194
2005-10-01,55.89797
2005-11-01,54.39091
2005-12-01,61.55523
2006-01-01,62.25082
2006-02-01,59.27794
2006-03-01,66.95714
2006-04-01,56.50130
2006-05-01,59.91942
2006-06-01,60.18381
2006-07-01,62.60744
2006-08-01,61.13173
2006-09-01,63.26698
2006-10-01,61.65269
2006-11-01,67.31793
2006-12-01,71.07124
2007-01-01,71.98746
2007-02-01,68.79293
2007-03-01,77.84936
2007-04-01,68.70766
2007-05-01,73.87321
2007-06-01,74.88332
2007-07-01,74.71641
2007-08-01,73.20831
2007-09-01,73.29276
2007-10-01,76.54411
2007-11-01,74.73627
2007-12-01,82.50957
2008-01-01,83.35226
2008-02-01,81.88905
2008-03-01,88.47564
2008-04-01,77.62821
2008-05-01,79.86080
2008-06-01,82.62979
2008-07-01,79.33321
2008-08-01,77.84657
2008-09-01,82.31821
2008-10-01,79.51370
2008-11-01,75.53825
2008-12-01,80.34267
2009-01-01,77.49555
2009-02-01,74.43786
2009-03-01,82.11252
2009-04-01,74.83289
2009-05-01,77.52909
2009-06-01,78.85942
2009-07-01,79.84428
2009-08-01,81.16553
2009-09-01,82.81085
2009-10-01,80.73928
2009-11-01,80.52913
2009-12-01,88.56709
2010-01-01,88.72009
2010-02-01,85.82729
2010-03-01,95.50512
2010-04-01,85.64397
2010-05-01,84.41572
2010-06-01,85.12028
2010-07-01,88.48851
2010-08-01,84.94074
2010-09-01,88.48851
2010-10-01,90.69943
2010-11-01,85.76341
2010-12-01,96.30388
2011-01-01,95.89254
2011-02-01,92.24194
2011-03-01,106.02170
2011-04-01,90.54518
2011-05-01,89.72251
2011-06-01,94.60712
2011-07-01,91.21361
2011-08-01,88.28284
2011-09-01,91.21361
2011-10-01,85.30066
2011-11-01,91.41927
2011-12-01,99.02898
2012-01-01,96.97230
2012-02-01,96.04679
2012-03-01,102.16540
2012-04-01,86.46288
2012-05-01,91.70306
2012-06-01,90.56769
2012-07-01,90.21834
2012-08-01,89.34498
2012-09-01,88.99564
2012-10-01,92.22707
2012-11-01,87.07423
2012-12-01,95.02184
2013-01-01,94.49782
2013-02-01,90.56769
2013-03-01,102.00870
2013-04-01,91.00436
2013-05-01,93.71179
2013-06-01,90.30568
2013-07-01,93.88646
2013-08-01,93.88646
2013-09-01,94.75983
2013-10-01,94.84716
2013-11-01,90.04367
2013-12-01,97.64192
2014-01-01,98.86463
2014-02-01,94.75983
2014-03-01,104.45410
2014-04-01,93.62445
2014-05-01,97.99126
2014-06-01,96.94323
2014-07-01,98.51528
2014-08-01,95.98254
2014-09-01,99.30131
2014-10-01,93.10043
2014-11-01,97.11790
2014-12-01,102.44540
2015-01-01,100.78600
2015-02-01,97.72926
2015-03-01,107.33620
2015-04-01,94.93449
2015-05-01,99.21397
2015-06-01,98.42795
2015-07-01,99.03930
2015-08-01,99.03930
2015-09-01,99.91267
2015-10-01,101.04800
2015-11-01,97.11790
2015-12-01,105.41480
2016-01-01,104.89080
2016-02-01,103.84280
2016-03-01,112.22710
2016-04-01,99.56332
2016-05-01,106.89960
2016-06-01,105.76420
2016-07-01,104.27950
2016-08-01,104.45410
2016-09-01,105.67690
2016-10-01,105.93890
2016-11-01,101.04800
2016-12-01,106.02620
2017-01-01,107.51090
2017-02-01,104.54150
2017-03-01,115.89520
2017-04-01,102.44540
2017-05-01,109.69430
2017-06-01,105.06550
2017-07-01,104.19210
2017-08-01,108.38430
2017-09-01,109.69430
2017-10-01,108.03490
2017-11-01,111.52840
2017-12-01,115.28380
2018-01-01,116.85590
2018-02-01,113.27510
2018-03-01,122.44540
2018-04-01,107.51090
2018-05-01,113.62450
2018-06-01,112.31440
2018-07-01,111.44100
2018-08-01,114.06110
2018-09-01,114.93450
2018-10-01,116.94320
2018-11-01,110.74240
2018-12-01,118.60260
2019-01-01,118.34060
2019-02-01,112.92580
2019-03-01,126.28820
2019-04-01,110.21830
2019-05-01,118.60260
2019-06-01,112.66380
2019-07-01,116.76860
2019-08-01,112.13970
2019-09-01,110.04370
2019-10-01,110.30570
2019-11-01,114.06110
2019-12-01,118.25330
2020-01-01,120.43670
2020-02-01,117.20520
2020-03-01,97.46725
2020-04-01,36.76856
2020-05-01,73.71179
2020-06-01,93.53712
2020-07-01,103.49340
2020-08-01,103.66810
2020-09-01,110.48030
2020-10-01,115.28380
2020-11-01,112.22710
2020-12-01,121.39740
2021-01-01,119.30130
2021-02-01,113.27510
2021-03-01,125.15280
2021-04-01,108.82100
2021-05-01,97.37991
2021-06-01,105.85150
2021-07-01,114.41050
2021-08-01,115.19650
2021-09-01,115.19650
2021-10-01,119.12660
2021-11-01,112.57640
2021-12-01,122.09610
2022-01-01,121.57210
2022-02-01,113.44980
2022-03-01,126.89960
2022-04-01,114.93450
2022-05-01,117.55460
2022-06-01,119.47600
2022-07-01,117.90390
2022-08-01,114.67250
2022-09-01,117.55460
2022-10-01,112.22710
2022-11-01,120.08730
2022-12-01,126.55020
2023-01-01,127.07420
2023-02-01,120.17470
2023-03-01,128.82100
2023-04-01,121.22270
2023-05-01,124.97820
2023-06-01,123.66810
2023-07-01,124.10480
2023-08-01,126.11350
2023-09-01,123.58080
2023-10-01,124.10480
2023-11-01,121.65940
2023-12-01,132.40170
2024-01-01,131.61570
2024-02-01,126.02620
2024-03-01,135.45850
